  46.84
 353.00
2260093113
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 12 19 12	29865.79	0.22	161.56	0.00	-15.16	-15.16	153.86
1980 12 20 12	29865.79	0.00	180.99	0.00	-22.17	-22.17	77.36
1980 12 21 12	29907.47	0.00	94.74	0.00	-22.20	-22.20	74.62
1980 12 22 12	29907.47	0.00	122.98	0.00	-22.51	-22.51	78.93
1980 12 23 12	29907.47	1.97	90.69	0.00	-15.54	-15.54	172.75
1980 12 24 12	29950.32	1.99	84.04	0.00	-7.39	-7.39	327.33
1980 12 25 12	29998.56	4.26	165.71	0.00	-20.13	-20.13	125.47
1980 12 26 12	30042.51	0.00	162.00	0.00	-25.07	-25.07	66.57
1980 12 27 12	30062.74	0.00	129.82	0.00	-13.97	-13.97	172.54
1980 12 28 12	30067.20	0.52	197.67	0.00	-14.68	-14.68	180.07
1980 12 29 12	30067.89	3.28	97.49	0.00	-2.63	-2.63	469.93
1980 12 30 12	30107.29	0.03	128.81	0.00	-6.03	-6.03	361.34
1980 12 31 12	30139.89	0.25	92.44	0.00	-15.36	-15.36	148.04
1981 01 01 12	30172.48	0.07	218.69	0.00	-17.24	-17.24	134.87
1981 01 02 12	30253.07	4.28	173.45	0.00	-13.00	-13.00	214.08
1981 01 03 12	30344.16	4.52	183.52	0.00	-21.75	-21.75	112.77
1981 01 04 12	30408.34	0.43	197.40	0.00	-30.94	-30.94	33.65
1981 01 05 12	30413.49	0.00	106.86	0.00	-22.00	-22.00	93.54
1981 01 06 12	30485.90	0.60	169.35	0.00	-19.38	-19.38	119.23
1981 01 07 12	30598.67	10.19	156.27	0.00	-7.84	-7.84	344.38
1981 01 08 12	30733.71	1.05	89.52	0.00	-11.27	-11.27	237.86
1981 01 09 12	30758.40	0.10	208.89	0.00	-20.73	-20.73	94.47
1981 01 10 12	30798.49	1.25	150.93	0.00	-16.60	-16.60	149.25
1981 01 11 12	30944.27	5.97	68.53	0.00	-16.03	-16.03	147.75
1981 01 12 12	31099.54	0.56	136.62	0.00	-22.28	-22.28	75.89
1981 01 13 12	31104.69	3.50	190.11	0.00	-22.54	-22.54	86.78
1981 01 14 12	31209.28	0.92	215.29	0.00	-15.77	-15.77	148.47
1981 01 15 12	31424.91	0.00	238.33	0.00	-17.86	-17.86	126.77
1981 01 16 12	31449.60	0.00	209.56	0.00	-17.72	-17.72	128.38
1981 01 17 12	31554.88	0.00	177.33	0.00	-13.42	-13.42	184.17
1981 01 18 12	31770.51	0.02	231.75	0.00	-18.91	-18.91	122.32
1981 01 19 12	31795.89	0.05	214.16	0.00	-11.10	-11.10	220.24
1981 01 20 12	31939.40	0.00	238.69	0.00	-15.04	-15.04	146.03
1981 01 21 12	32136.34	0.30	248.11	0.00	-16.98	-16.98	136.57
1981 01 22 12	32150.34	3.22	143.89	0.00	-13.35	-13.35	210.41
1981 01 23 12	32369.53	4.62	128.31	0.00	-7.47	-7.47	322.49
1981 01 24 12	32486.40	0.12	106.22	0.00	-8.38	-8.38	292.32
1981 01 25 12	32591.68	0.01	213.18	0.00	-10.49	-10.49	225.22
1981 01 26 12	32832.00	0.37	175.16	0.00	-5.90	-5.90	368.37
1981 01 27 12	32872.09	0.00	131.68	0.00	-0.72	-0.72	517.44
1981 01 28 12	33152.91	0.00	242.64	0.00	-9.37	-9.37	232.05
1981 01 29 12	33178.29	0.00	164.01	0.00	-15.23	-15.23	148.00
1981 01 30 12	33406.32	0.00	175.12	0.00	-14.45	-14.45	155.30
1981 01 31 12	33523.20	0.00	272.75	0.00	-15.83	-15.83	153.34
1981 02 01 12	33709.07	0.68	290.41	0.00	-12.08	-12.08	215.55
1981 02 02 12	33868.80	20.70	108.98	0.00	-0.38	-0.38	569.40
1981 02 03 12	34012.99	4.44	197.95	0.00	-5.67	-5.67	362.29
1981 02 04 12	34214.40	0.00	283.49	0.00	-18.81	-18.81	93.69
1981 02 05 12	34319.68	0.00	153.09	0.00	-17.91	-17.91	108.78
1981 02 06 12	34560.00	0.00	269.27	0.00	-14.30	-14.30	166.84
1981 02 07 12	34665.28	0.00	196.39	0.00	-8.11	-8.11	284.80
1981 02 08 12	34905.60	7.00	186.32	0.00	-5.51	-5.51	375.78
1981 02 09 12	35010.88	3.80	100.97	0.00	-3.68	-3.68	423.53
1981 02 10 12	35251.20	0.00	325.67	0.00	-7.52	-7.52	267.02
1981 02 11 12	35395.39	4.87	113.94	0.00	-2.12	-2.12	485.02
1981 02 12 12	35596.80	6.75	210.68	0.00	-4.55	-4.55	446.39
1981 02 13 12	35825.52	0.07	305.20	0.00	-16.93	-16.93	105.84
1981 02 14 12	35942.40	0.03	133.86	0.00	-12.40	-12.40	195.95
1981 02 15 12	36219.36	0.00	322.32	0.00	-12.63	-12.63	170.88
1981 02 16 12	36288.00	0.00	278.27	0.00	-3.89	-3.89	395.16
1981 02 17 12	36633.60	0.03	227.34	0.00	0.78	0.78	568.76
1981 02 18 12	36633.60	0.00	214.74	0.00	1.85	1.85	627.07
1981 02 19 12	36979.20	0.00	199.76	0.00	2.41	2.41	634.45
1981 02 20 12	37019.29	0.91	124.22	0.00	3.01	3.01	679.65
1981 02 21 12	37324.80	1.17	184.41	0.00	5.06	5.06	729.72
1981 02 22 12	37468.99	0.00	223.56	0.00	5.91	5.91	761.87
1981 02 23 12	37670.40	0.00	364.79	0.00	5.30	5.30	573.45
1981 02 24 12	38011.54	0.00	364.53	0.00	3.83	3.83	452.27
1981 02 25 12	38016.00	0.74	256.51	0.00	1.69	1.69	557.56
1981 02 26 12	38361.60	5.80	125.36	0.00	-0.34	-0.34	531.07
1981 02 27 12	38362.29	1.98	180.56	0.00	0.66	0.66	548.14
1981 02 28 12	38707.20	0.81	377.00	0.00	-0.15	-0.15	399.32
1981 03 01 12	38893.07	3.46	109.10	0.00	0.37	0.37	546.07
1981 03 02 12	39052.80	0.00	279.95	0.00	-1.22	-1.22	444.76
1981 03 03 12	39398.40	0.02	200.02	0.00	-3.25	-3.25	365.19
1981 03 04 12	39398.40	0.20	350.86	0.00	-6.28	-6.28	276.56
1981 03 05 12	39744.00	0.02	91.81	0.00	-5.95	-5.95	328.27
1981 03 06 12	39784.09	0.57	107.09	0.00	-0.34	-0.34	535.28
1981 03 07 12	40089.60	0.09	255.35	0.00	-0.32	-0.32	501.74
1981 03 08 12	40435.20	0.00	416.96	0.00	-1.91	-1.91	408.59
1981 03 09 12	40435.20	0.00	243.26	0.00	-0.46	-0.46	453.92
1981 03 10 12	40780.80	0.00	215.86	0.00	-1.53	-1.53	401.89
1981 03 11 12	40780.80	0.12	219.84	0.00	-2.56	-2.56	359.63
1981 03 12 12	41126.40	0.00	180.21	0.00	-2.78	-2.78	365.42
1981 03 13 12	41472.00	0.60	254.85	0.00	-1.19	-1.19	438.44
1981 03 14 12	41472.00	3.47	166.73	0.00	-1.40	-1.40	483.17
1981 03 15 12	41817.60	0.62	473.01	0.00	-9.16	-9.16	229.61
1981 03 16 12	41817.60	0.41	288.31	0.00	-8.86	-8.86	232.50
1981 03 17 12	42163.20	19.31	336.00	0.00	-10.98	-10.98	224.92
1981 03 18 12	42508.80	10.42	202.08	0.00	-5.93	-5.93	370.52
1981 03 19 12	42508.80	1.13	288.17	0.00	-2.83	-2.83	464.57
1981 03 20 12	42854.40	1.92	305.47	0.00	-0.78	-0.78	541.69
1981 03 21 12	42854.40	0.06	326.45	0.00	-1.17	-1.17	487.36
1981 03 22 12	43200.00	0.00	335.20	0.00	-1.60	-1.60	429.99
1981 03 23 12	43545.60	0.00	361.60	0.00	-0.57	-0.57	455.87
1981 03 24 12	43545.60	0.00	377.86	0.00	0.04	0.04	444.14
1981 03 25 12	43891.20	0.00	434.72	0.00	-1.65	-1.65	361.05
1981 03 26 12	43891.20	0.00	522.64	0.00	-0.35	-0.35	405.18
1981 03 27 12	44236.80	0.35	352.38	0.00	-1.03	-1.03	428.77
1981 03 28 12	44582.40	0.13	486.21	0.00	-2.41	-2.41	355.15
1981 03 29 12	44582.40	4.71	165.96	0.00	1.77	1.77	578.38
1981 03 30 12	44928.00	8.82	157.29	0.00	2.60	2.60	659.96
1981 03 31 12	44928.00	17.68	186.63	0.00	2.01	2.01	620.34
1981 04 01 12	45273.60	0.01	522.77	0.00	2.81	2.81	592.49
1981 04 02 12	45619.20	10.00	228.02	0.00	4.38	4.38	707.29
1981 04 03 12	45619.20	0.12	425.05	0.00	2.50	2.50	481.92
1981 04 04 12	45964.80	2.63	272.15	0.00	8.04	8.04	832.15
1981 04 05 12	45964.80	2.56	150.97	0.00	11.36	11.36	1218.24
1981 04 06 12	46310.40	1.86	288.18	0.00	6.66	6.66	763.63
1981 04 07 12	46615.91	0.00	543.50	0.00	0.45	0.45	313.48
1981 04 08 12	46656.00	0.01	319.78	0.00	5.88	5.88	501.80
1981 04 09 12	47001.60	0.85	161.46	0.00	10.31	10.31	905.13
1981 04 10 12	47001.60	3.85	448.49	0.00	6.30	6.30	624.30
1981 04 11 12	47347.20	0.32	219.01	0.00	5.57	5.57	581.08
1981 04 12 12	47506.93	0.00	376.05	0.00	2.39	2.39	427.59
1981 04 13 12	47692.80	0.02	575.22	0.00	1.46	1.46	331.82
1981 04 14 12	48037.71	4.97	386.33	0.00	3.37	3.37	448.44
1981 04 15 12	48038.40	1.40	551.12	0.00	-3.07	-3.07	320.74
1981 04 16 12	48384.00	0.03	221.53	0.00	-6.57	-6.57	173.01
1981 04 17 12	48388.46	0.23	334.21	0.00	3.72	3.72	542.43
1981 04 18 12	48729.60	4.49	170.83	0.00	6.62	6.62	854.35
1981 04 19 12	48931.01	0.00	505.12	0.00	2.94	2.94	518.11
1981 04 20 12	49075.20	0.14	142.16	0.00	0.58	0.58	363.46
1981 04 21 12	49380.71	0.00	392.52	0.00	-2.39	-2.39	232.38
1981 04 22 12	49420.80	0.00	394.45	0.00	-3.76	-3.76	222.29
1981 04 23 12	49766.40	0.01	420.47	0.00	2.36	2.36	484.98
1981 04 24 12	49766.40	5.97	174.45	0.00	4.57	4.57	701.97
1981 04 25 12	50112.00	3.47	351.62	0.00	4.57	4.57	643.36
1981 04 26 12	50180.64	0.00	214.40	0.00	5.75	5.75	624.38
1981 04 27 12	50457.60	0.00	323.25	0.00	6.47	6.47	613.52
1981 04 28 12	50574.48	0.00	326.28	0.00	7.13	7.13	599.78
1981 04 29 12	50803.20	11.91	225.81	0.00	6.32	6.32	744.87
1981 04 30 12	51004.61	5.45	293.99	0.00	7.53	7.53	849.00
1981 05 01 12	51148.80	0.00	237.03	0.00	7.77	7.77	652.39
1981 05 02 12	51350.21	0.36	193.62	0.00	8.72	8.72	757.83
1981 05 03 12	51494.40	0.00	343.35	0.00	9.66	9.66	739.47
1981 05 04 12	51734.72	0.00	544.12	0.00	10.21	10.21	749.30
1981 05 05 12	51840.00	0.03	440.08	0.00	12.83	12.83	1106.05
1981 05 06 12	52080.32	0.40	460.53	0.00	15.73	15.73	1315.49
1981 05 07 12	52185.60	2.03	385.90	0.00	5.28	5.28	615.79
1981 05 08 12	52387.01	0.00	560.17	0.00	7.90	7.90	574.20
1981 05 09 12	52531.20	0.00	520.34	0.00	11.31	11.31	711.41
1981 05 10 12	52690.93	0.00	425.29	0.00	9.97	9.97	808.19
1981 05 11 12	52876.80	2.66	205.31	0.00	11.93	11.93	1154.88
1981 05 12 12	52993.68	5.93	249.03	0.00	13.89	13.89	1379.89
1981 05 13 12	53221.71	35.98	256.51	0.00	14.58	14.58	1500.61
1981 05 14 12	53247.09	2.05	176.51	0.00	8.46	8.46	915.95
1981 05 15 12	53527.91	0.21	385.50	0.00	12.42	12.42	1065.06
1981 05 16 12	53568.00	9.95	314.32	0.00	15.38	15.38	1496.51
1981 05 17 12	53808.32	19.09	276.61	0.00	9.61	9.61	1032.97
1981 05 18 12	53913.60	0.95	219.44	0.00	1.06	1.06	400.28
1981 05 19 12	54030.48	0.00	201.30	0.00	2.95	2.95	525.09
1981 05 20 12	54249.66	0.00	313.14	0.00	6.32	6.32	677.59
1981 05 21 12	54263.66	0.00	463.18	0.00	10.52	10.52	760.53
1981 05 22 12	54460.61	0.57	179.59	0.00	11.23	11.23	924.26
1981 05 23 12	54604.11	0.00	476.19	0.00	10.39	10.39	797.21
1981 05 24 12	54629.50	0.19	559.03	0.00	12.24	12.24	830.60
1981 05 25 12	54845.12	3.61	416.21	0.00	15.09	15.09	1111.15
1981 05 26 12	54950.40	6.25	281.71	0.00	17.31	17.31	1534.29
1981 05 27 12	54975.09	3.89	346.72	0.00	16.68	16.68	1512.74
1981 05 28 12	55190.72	10.64	363.12	0.00	19.09	19.09	1754.98
1981 05 29 12	55295.31	1.04	378.34	0.00	19.30	19.30	1773.27
1981 05 30 12	55300.46	7.91	342.17	0.00	17.62	17.62	1753.36
1981 05 31 12	55455.73	6.47	313.85	0.00	15.71	15.71	1472.79
1981 06 01 12	55601.51	0.00	340.18	0.00	8.46	8.46	703.45
1981 06 02 12	55641.60	0.00	368.34	0.00	11.24	11.24	867.86
1981 06 03 12	55666.30	0.00	288.82	0.00	15.29	15.29	1334.11
1981 06 04 12	55801.33	4.61	328.27	0.00	17.07	17.07	1580.04
1981 06 05 12	55914.10	0.00	518.41	0.00	19.97	19.97	1499.68
1981 06 06 12	55986.51	5.50	377.57	0.00	18.64	18.64	1608.88
1981 06 07 12	55991.66	1.27	255.76	0.00	13.68	13.68	1240.36
1981 06 08 12	56055.84	0.00	486.27	0.00	10.14	10.14	849.79
1981 06 09 12	56146.93	8.48	239.22	0.00	13.51	13.51	1340.86
1981 06 10 12	56227.52	0.39	155.32	0.00	11.60	11.60	1124.64
1981 06 11 12	56292.71	0.08	304.57	0.00	11.99	11.99	1041.54
1981 06 12 12	56332.11	3.02	303.22	0.00	13.29	13.29	1060.46
1981 06 13 12	56332.80	0.00	370.22	0.00	16.40	16.40	1212.66
1981 06 14 12	56337.26	0.65	384.92	0.00	17.86	17.86	1455.63
1981 06 15 12	56357.50	0.78	196.63	0.00	16.00	16.00	1624.95
1981 06 16 12	56401.44	14.74	224.56	0.00	16.70	16.70	1791.20
1981 06 17 12	56449.68	4.00	314.90	0.00	20.76	20.76	1961.48
1981 06 18 12	56492.53	0.00	526.19	0.00	15.88	15.88	1237.15
1981 06 19 12	56492.53	0.00	446.79	0.00	18.62	18.62	1607.58
1981 06 20 12	56492.53	4.68	368.49	0.00	18.46	18.46	1555.91
1981 06 21 12	56534.21	6.81	401.45	0.00	16.06	16.06	1469.96
1981 06 22 12	56534.21	9.43	247.69	0.00	15.18	15.18	1607.95
1981 06 23 12	56492.53	9.62	352.51	0.00	15.62	15.62	1446.12
1981 06 24 12	56492.53	0.12	327.11	0.00	11.98	11.98	1022.42
1981 06 25 12	56449.68	5.93	248.88	0.00	13.28	13.28	1358.02
1981 06 26 12	56449.68	17.05	312.84	0.00	15.68	15.68	1509.29
1981 06 27 12	56401.44	0.00	519.36	0.00	14.70	14.70	1129.89
1981 06 28 12	56357.50	0.00	516.91	0.00	17.05	17.05	1205.43
1981 06 29 12	56337.26	0.00	495.93	0.00	19.06	19.06	1476.29
1981 06 30 12	56332.11	0.00	308.44	0.00	18.30	18.30	1575.01
1981 07 01 12	56323.26	0.00	448.23	0.00	19.32	19.32	1643.67
1981 07 02 12	56259.70	0.00	430.53	0.00	21.42	21.42	1901.87
1981 07 03 12	56188.61	0.00	467.59	0.00	23.17	23.17	2123.31
1981 07 04 12	56104.07	0.00	371.32	0.00	22.21	22.21	2024.38
1981 07 05 12	56011.89	0.04	343.05	0.00	21.53	21.53	1977.67
1981 07 06 12	55987.20	0.95	299.50	0.00	21.38	21.38	2082.86
1981 07 07 12	55977.66	15.36	492.96	0.00	21.03	21.03	1724.20
1981 07 08 12	55881.92	5.85	293.77	0.00	17.86	17.86	1640.55
1981 07 09 12	55758.48	0.41	419.25	0.00	18.26	18.26	1558.73
1981 07 10 12	55646.06	0.53	470.42	0.00	20.40	20.40	1689.91
1981 07 11 12	55632.06	1.44	422.81	0.00	18.97	18.97	1440.93
1981 07 12 12	55536.32	0.02	371.19	0.00	16.83	16.83	1417.63
1981 07 13 12	55364.64	8.75	372.40	0.00	16.55	16.55	1506.14
1981 07 14 12	55296.00	4.00	318.37	0.00	17.32	17.32	1590.28
1981 07 15 12	55255.91	0.55	246.60	0.00	14.06	14.06	1293.72
1981 07 16 12	55110.13	0.00	367.34	0.00	16.06	16.06	1241.07
1981 07 17 12	54950.40	0.00	466.46	0.00	17.98	17.98	1331.27
1981 07 18 12	54910.31	1.14	378.75	0.00	19.54	19.54	1558.60
1981 07 19 12	54764.53	0.26	336.83	0.00	20.17	20.17	1737.69
1981 07 20 12	54604.80	0.02	437.26	0.00	19.98	19.98	1804.80
1981 07 21 12	54564.71	6.31	123.69	0.00	17.30	17.30	1830.48
1981 07 22 12	54327.84	0.00	401.51	0.00	17.48	17.48	1519.93
1981 07 23 12	54259.20	0.00	421.21	0.00	14.13	14.13	1057.37
1981 07 24 12	54153.92	0.00	466.01	0.00	16.21	16.21	1202.00
1981 07 25 12	53918.06	0.00	475.35	0.00	19.09	19.09	1443.33
1981 07 26 12	53904.06	0.00	376.38	0.00	18.07	18.07	1626.67
1981 07 27 12	53636.64	12.76	319.87	0.00	18.06	18.06	1636.39
1981 07 28 12	53568.00	0.00	468.84	0.00	13.59	13.59	1063.35
1981 07 29 12	53423.81	0.70	127.36	0.00	13.65	13.65	1229.43
1981 07 30 12	53222.40	1.67	335.34	0.00	15.68	15.68	1353.23
1981 07 31 12	53149.30	0.00	478.22	0.00	19.41	19.41	1438.12
1981 08 01 12	52876.80	0.00	487.32	0.00	21.01	21.01	1699.69
1981 08 02 12	52836.71	0.29	389.92	0.00	20.70	20.70	1824.54
1981 08 03 12	52535.66	0.19	300.86	0.00	20.00	20.00	1827.07
1981 08 04 12	52521.66	12.43	355.28	0.00	20.87	20.87	1909.07
1981 08 05 12	52210.30	22.03	241.17	0.00	19.35	19.35	1873.15
1981 08 06 12	52184.91	54.14	138.62	0.00	15.93	15.93	1702.81
1981 08 07 12	51864.69	25.31	173.80	0.00	14.54	14.54	1551.89
1981 08 08 12	51840.00	5.39	255.63	0.00	14.82	14.82	1522.13
1981 08 09 12	51519.09	0.22	282.37	0.00	16.65	16.65	1603.95
1981 08 10 12	51494.40	6.15	269.50	0.00	18.40	18.40	1798.81
1981 08 11 12	51153.26	3.43	325.57	0.00	19.45	19.45	1869.41
1981 08 12 12	51148.11	11.35	314.86	0.00	20.50	20.50	1951.86
1981 08 13 12	50803.20	0.00	324.50	0.00	17.84	17.84	1553.11
1981 08 14 12	50802.51	0.00	336.93	0.00	10.37	10.37	989.15
1981 08 15 12	50457.60	2.76	275.61	0.00	12.92	12.92	1203.81
1981 08 16 12	50417.51	23.80	223.03	0.00	17.37	17.37	1804.83
1981 08 17 12	50112.00	37.78	234.43	0.00	14.94	14.94	1557.23
1981 08 18 12	50006.72	4.75	483.99	0.00	14.37	14.37	1168.09
1981 08 19 12	49766.40	0.00	473.99	0.00	15.40	15.40	1152.30
1981 08 20 12	49580.53	0.00	477.47	0.00	17.77	17.77	1268.95
1981 08 21 12	49420.80	0.00	396.76	0.00	18.62	18.62	1378.01
1981 08 22 12	49079.66	0.00	469.81	0.00	20.21	20.21	1634.05
1981 08 23 12	49075.20	11.19	294.74	0.00	19.60	19.60	1703.79
1981 08 24 12	48729.60	1.03	393.69	0.00	17.55	17.55	1460.36
1981 08 25 12	48728.91	0.24	472.72	0.00	11.29	11.29	937.90
1981 08 26 12	48384.00	0.00	464.07	0.00	13.74	13.74	1031.81
1981 08 27 12	48239.81	1.28	268.06	0.00	14.63	14.63	1208.36
1981 08 28 12	48038.40	0.00	428.01	0.00	13.41	13.41	995.35
1981 08 29 12	47697.26	0.04	458.13	0.00	14.83	14.83	1146.89
1981 08 30 12	47692.80	0.07	395.53	0.00	18.24	18.24	1605.55
1981 08 31 12	47347.20	0.00	341.81	0.00	18.41	18.41	1719.42
1981 09 01 12	47346.51	0.00	394.12	0.00	17.05	17.05	1561.20
1981 09 02 12	47001.60	0.00	424.82	0.00	18.18	18.18	1600.34
1981 09 03 12	46724.64	0.00	362.04	0.00	17.63	17.63	1514.62
1981 09 04 12	46656.00	0.01	433.63	0.00	17.71	17.71	1462.12
1981 09 05 12	46310.40	0.02	436.47	0.00	18.89	18.89	1483.64
1981 09 06 12	46310.40	0.00	420.82	0.00	15.68	15.68	1321.40
1981 09 07 12	45964.80	0.00	434.70	0.00	16.79	16.79	1366.37
1981 09 08 12	45778.93	0.00	371.66	0.00	15.83	15.83	1369.27
1981 09 09 12	45619.20	13.13	190.39	0.00	14.59	14.59	1473.41
1981 09 10 12	45273.60	0.51	377.43	0.00	8.39	8.39	848.36
1981 09 11 12	45273.60	2.70	207.87	0.00	10.99	10.99	1125.96
1981 09 12 12	44928.00	0.42	262.94	0.00	13.69	13.69	1220.18
1981 09 13 12	44783.81	0.28	314.47	0.00	13.80	13.80	1176.50
1981 09 14 12	44582.40	2.81	208.88	0.00	11.73	11.73	1057.51
1981 09 15 12	44236.80	0.20	401.46	0.00	12.93	12.93	1057.80
1981 09 16 12	44236.80	0.07	316.36	0.00	12.80	12.80	1027.44
1981 09 17 12	43891.20	0.01	360.13	0.00	10.09	10.09	839.48
1981 09 18 12	43785.92	0.00	232.77	0.00	11.07	11.07	923.32
1981 09 19 12	43545.60	9.24	129.49	0.00	11.42	11.42	1239.41
1981 09 20 12	43200.00	7.45	269.66	0.00	11.01	11.01	1094.93
1981 09 21 12	43200.00	0.14	313.05	0.00	7.02	7.02	754.37
1981 09 22 12	42854.40	2.42	249.60	0.00	6.21	6.21	807.65
1981 09 23 12	42652.99	9.48	112.08	0.00	7.96	7.96	982.46
1981 09 24 12	42508.80	10.74	100.92	0.00	8.13	8.13	988.78
1981 09 25 12	42163.20	2.21	345.72	0.00	8.74	8.74	842.77
1981 09 26 12	42163.20	0.00	356.01	0.00	9.18	9.18	838.41
1981 09 27 12	41817.60	1.82	117.27	0.00	9.45	9.45	967.45
1981 09 28 12	41616.19	6.80	273.51	0.00	13.15	13.15	1227.07
1981 09 29 12	41472.00	0.32	94.10	0.00	4.49	4.49	614.09
1981 09 30 12	41126.40	1.19	193.05	0.00	3.00	3.00	562.21
1981 10 01 12	41126.40	1.75	235.82	0.00	4.87	4.87	685.51
1981 10 02 12	40780.80	3.62	100.63	0.00	5.87	5.87	827.17
1981 10 03 12	40621.07	18.56	66.98	0.00	6.19	6.19	879.96
1981 10 04 12	40435.20	0.79	65.12	0.00	5.59	5.59	777.89
1981 10 05 12	40089.60	0.00	200.39	0.00	6.87	6.87	800.83
1981 10 06 12	40089.60	0.17	327.47	0.00	7.37	7.37	762.40
1981 10 07 12	39744.00	23.28	76.91	0.00	7.28	7.28	947.05
1981 10 08 12	39675.36	11.85	119.20	0.00	5.98	5.98	820.02
1981 10 09 12	39398.40	0.22	124.52	0.00	5.01	5.01	669.46
1981 10 10 12	39053.49	0.04	243.87	0.00	3.68	3.68	579.20
1981 10 11 12	39052.80	0.00	239.36	0.00	3.56	3.56	556.18
1981 10 12 12	38707.20	0.00	353.72	0.00	4.68	4.68	605.39
1981 10 13 12	38707.20	0.00	342.85	0.00	5.61	5.61	607.43
1981 10 14 12	38361.60	0.00	349.01	0.00	7.67	7.67	665.33
1981 10 15 12	38160.19	0.47	316.94	0.00	8.10	8.10	726.73
1981 10 16 12	38016.00	2.14	98.08	0.00	7.01	7.01	866.47
1981 10 17 12	37679.94	0.74	227.91	0.00	5.49	5.49	692.60
1981 10 18 12	37670.40	1.95	306.60	0.00	4.52	4.52	580.65
1981 10 19 12	37324.80	22.40	190.72	0.00	8.43	8.43	943.87
1981 10 20 12	37320.34	0.16	212.17	0.00	3.42	3.42	552.13
1981 10 21 12	36979.20	0.34	218.17	0.00	5.77	5.77	659.80
1981 10 22 12	36819.47	9.46	117.50	0.00	2.90	2.90	604.27
1981 10 23 12	36633.60	11.86	160.34	0.00	8.62	8.62	1059.63
1981 10 24 12	36393.28	31.81	151.72	0.00	5.63	5.63	783.10
1981 10 25 12	36288.00	1.23	206.78	0.00	1.73	1.73	477.73
1981 10 26 12	35982.49	8.07	112.70	0.00	2.55	2.55	640.52
1981 10 27 12	35942.40	11.85	75.41	0.00	6.81	6.81	925.24
1981 10 28 12	35606.34	9.72	167.86	0.00	7.80	7.80	938.18
1981 10 29 12	35596.80	0.00	307.59	0.00	0.09	0.09	411.10
1981 10 30 12	35251.89	0.00	281.38	0.00	1.84	1.84	377.51
1981 10 31 12	35246.74	0.00	257.76	0.00	2.34	2.34	398.18
1981 11 01 12	34905.60	0.20	114.49	0.00	3.62	3.62	603.18
1981 11 02 12	34880.91	0.31	305.92	0.00	6.05	6.05	751.69
1981 11 03 12	34560.00	0.00	259.60	0.00	1.10	1.10	429.26
1981 11 04 12	34535.31	0.00	305.67	0.00	0.65	0.65	416.23
1981 11 05 12	34215.09	0.12	159.36	0.00	1.01	1.01	448.14
1981 11 06 12	34189.70	4.83	114.13	0.00	4.77	4.77	796.03
1981 11 07 12	33878.34	4.05	142.21	0.00	6.74	6.74	937.30
1981 11 08 12	33864.34	0.97	252.88	0.00	2.11	2.11	568.40
1981 11 09 12	33563.29	0.61	148.94	0.00	0.78	0.78	501.76
1981 11 10 12	33523.20	0.00	298.62	0.00	-2.87	-2.87	252.87
1981 11 11 12	33250.70	0.16	71.44	0.00	-1.65	-1.65	397.78
1981 11 12 12	33177.60	0.68	249.80	0.00	-3.24	-3.24	348.79
1981 11 13 12	32976.19	0.00	232.93	0.00	-4.09	-4.09	345.48
1981 11 14 12	32832.00	0.00	277.46	0.00	-0.69	-0.69	469.52
1981 11 15 12	32763.35	0.00	252.46	0.00	1.96	1.96	500.18
1981 11 16 12	32495.94	0.07	155.69	0.00	2.72	2.72	569.01
1981 11 17 12	32481.94	7.86	73.89	0.00	2.33	2.33	634.24
1981 11 18 12	32246.08	12.81	87.42	0.00	2.45	2.45	669.44
1981 11 19 12	32140.80	1.33	59.45	0.00	-0.71	-0.71	522.65
1981 11 20 12	32072.16	3.07	92.91	0.00	-1.08	-1.08	516.94
1981 11 21 12	31835.29	16.17	70.46	0.00	1.30	1.30	635.94
1981 11 22 12	31795.20	0.28	94.13	0.00	0.05	0.05	495.66
1981 11 23 12	31635.47	0.00	130.83	0.00	-1.58	-1.58	345.22
1981 11 24 12	31489.69	0.00	73.86	0.00	-3.17	-3.17	318.29
1981 11 25 12	31449.60	0.00	120.39	0.00	-2.62	-2.62	414.07
1981 11 26 12	31289.87	0.00	249.01	0.00	-1.78	-1.78	415.58
1981 11 27 12	31144.09	6.67	96.92	0.00	-3.80	-3.80	410.30
1981 11 28 12	31104.00	2.12	90.58	0.00	-1.97	-1.97	480.27
1981 11 29 12	31035.35	0.02	246.92	0.00	-4.38	-4.38	376.87
1981 11 30 12	30863.68	0.03	248.26	0.00	-8.80	-8.80	273.90
1981 12 01 12	30767.94	0.00	223.62	0.00	-7.97	-7.97	274.14
1981 12 02 12	30753.94	6.60	96.38	0.00	-3.43	-3.43	448.75
1981 12 03 12	30641.53	5.35	97.89	0.00	-0.26	-0.26	579.61
1981 12 04 12	30518.08	3.68	147.55	0.00	0.65	0.65	585.98
1981 12 05 12	30422.34	0.00	127.95	0.00	0.20	0.20	522.45
1981 12 06 12	30412.80	14.13	76.70	0.00	-0.05	-0.05	562.21
1981 12 07 12	30388.11	5.46	65.78	0.00	1.59	1.59	660.05
1981 12 08 12	30295.93	0.13	61.29	0.00	0.00	0.00	544.78
1981 12 09 12	30211.40	0.91	55.83	0.00	-1.09	-1.09	494.47
